project_name	publication_year	publication_doi	sample_name	sample_host	archive_project	archive_sample_accession	date_information_present	date_is_radiocarbon	archaeological_historical_date	multiple_dates	reference_location	reference_citation_depth	primary_secondary_reference_citation_doi	direct_dating_individual	direct_dating_element	radiocarbon_lab_code	radiocarbon_lab_sample_id	spectrometry_type	pretreatment_reported	pretreatment_type	sample_material	uncalibrated_date	uncalibrated_uncertainty_plus_minus	delta_13c	carbon_perc	delta_15n	carbon_nitrogen_ratio	calibration_reported	calibration_curve	calibration_software	calibration_software_version	calibration_software_settings	calibration_software_citation_doi	calibrated_range_lower	calibrated_range_upper	calibrated_range_median	calibrated_range_suffix	calibrated_range_confidence_interval	reservoir_offset_mentioned	reservoir_offset_applied	reservoir_offset_type	reservoir_offset_reported	reservoir_offset_reported_sd	reservoir_aquatic_carbon_perc	reservoir_aquatic_carbon_perc_sd
Eriksen2025	2025	10.1038/s42003-025-07616-9	116	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	116_S73	TRUE	FALSE	740-400	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	117	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	117_S74	TRUE	FALSE	740-400	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	118	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	118_S75	TRUE	FALSE	70-0	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	121	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	121_S78	TRUE	FALSE	70-0	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	122	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	122_S79	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	123	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	123_S80	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	124	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	124_S81	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	125	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	125_S82	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	126	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	126_S83	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	127	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	127_S84	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	128	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	128_S85	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	129	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	129_S86	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
