Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Slon2017	10.1126/science.aam9695	SP2920	ERS1600836	ERR1883529	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP2921	ERS1600842	ERR1883535	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP2922	ERS1600844	ERR1883537	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3871	ERS1600943	ERR1883636	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3872	ERS1600945	ERR1883638	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3873	ERS1600948	ERR1883641	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3874	ERS1600950	ERR1883643	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3875	ERS1600951	ERR1883644	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1600960	ERR1883653	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3877	ERS1600980	ERR1883673	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3878	ERS1600987	ERR1883680	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3879	ERS1600988	ERR1883681	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3880	ERS1600992	ERR1883685	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3871	ERS1600833	ERR1883526	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3872	ERS1600835	ERR1883528	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3873	ERS1600838	ERR1883531	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3874	ERS1600840	ERR1883533	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3875	ERS1600841	ERR1883534	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1600850	ERR1883543	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3877	ERS1600870	ERR1883563	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3878	ERS1600877	ERR1883570	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3879	ERS1600878	ERR1883571	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3880	ERS1600882	ERR1883575	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600993	ERR1883686	Remove:CAPTUREDATA
