Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession
Environment	Slon2017	10.1126/science.aam9695	SP3831	ERS1600977	ERR1883670
Environment	Slon2017	10.1126/science.aam9695	SP3801	ERS1600921	ERR1883614
Environment	Slon2017	10.1126/science.aam9695	SP3802	ERS1600922	ERR1883615
Environment	Slon2017	10.1126/science.aam9695	SP3804	ERS1600923	ERR1883616
Environment	Slon2017	10.1126/science.aam9695	SP3805	ERS1600924	ERR1883617
Environment	Slon2017	10.1126/science.aam9695	SP3806	ERS1600925	ERR1883618
Environment	Slon2017	10.1126/science.aam9695	SP3807	ERS1600926	ERR1883619
Environment	Slon2017	10.1126/science.aam9695	SP3808	ERS1600927	ERR1883620
Environment	Slon2017	10.1126/science.aam9695	SP3809	ERS1600928	ERR1883621
Environment	Slon2017	10.1126/science.aam9695	SP3810	ERS1600929	ERR1883622
Environment	Slon2017	10.1126/science.aam9695	SP3811	ERS1600930	ERR1883623
Environment	Slon2017	10.1126/science.aam9695	SP3812	ERS1600931	ERR1883624
Environment	Slon2017	10.1126/science.aam9695	SP3858	ERS1600956	ERR1883649
Environment	Slon2017	10.1126/science.aam9695	SP3859	ERS1600955	ERR1883648
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1600953	ERR1883646
Environment	Slon2017	10.1126/science.aam9695	SP3861	ERS1600949	ERR1883642
Environment	Slon2017	10.1126/science.aam9695	SP3862	ERS1600947	ERR1883640
Environment	Slon2017	10.1126/science.aam9695	SP3863	ERS1600944	ERR1883637
Environment	Slon2017	10.1126/science.aam9695	SP3864	ERS1600942	ERR1883635
Environment	Slon2017	10.1126/science.aam9695	SP3865	ERS1600965	ERR1883658
Environment	Slon2017	10.1126/science.aam9695	SP3866	ERS1600966	ERR1883659
Environment	Slon2017	10.1126/science.aam9695	SP3867	ERS1600967	ERR1883660
Environment	Slon2017	10.1126/science.aam9695	SP3868	ERS1600968	ERR1883661
Environment	Slon2017	10.1126/science.aam9695	SP3869	ERS1600958	ERR1883651
Environment	Slon2017	10.1126/science.aam9695	SP3870	ERS1600941	ERR1883634
Environment	Slon2017	10.1126/science.aam9695	SP3823	ERS1600859	ERR1883552
Environment	Slon2017	10.1126/science.aam9695	SP3824	ERS1600860	ERR1883553
Environment	Slon2017	10.1126/science.aam9695	SP3825	ERS1600861	ERR1883554
Environment	Slon2017	10.1126/science.aam9695	SP3826	ERS1600862	ERR1883555
Environment	Slon2017	10.1126/science.aam9695	SP3827	ERS1600863	ERR1883556
Environment	Slon2017	10.1126/science.aam9695	SP3828	ERS1600864	ERR1883557
Environment	Slon2017	10.1126/science.aam9695	SP3829	ERS1600865	ERR1883558
Environment	Slon2017	10.1126/science.aam9695	SP3830	ERS1600866	ERR1883559
Environment	Slon2017	10.1126/science.aam9695	SP3831	ERS1600867	ERR1883560
Environment	Slon2017	10.1126/science.aam9695	SP3801	ERS1600811	ERR1883504
Environment	Slon2017	10.1126/science.aam9695	SP3802	ERS1600812	ERR1883505
Environment	Slon2017	10.1126/science.aam9695	SP3804	ERS1600813	ERR1883506
Environment	Slon2017	10.1126/science.aam9695	SP3805	ERS1600814	ERR1883507
Environment	Slon2017	10.1126/science.aam9695	SP3806	ERS1600815	ERR1883508
Environment	Slon2017	10.1126/science.aam9695	SP3807	ERS1600816	ERR1883509
Environment	Slon2017	10.1126/science.aam9695	SP3808	ERS1600817	ERR1883510
Environment	Slon2017	10.1126/science.aam9695	SP3809	ERS1600818	ERR1883511
Environment	Slon2017	10.1126/science.aam9695	SP3810	ERS1600819	ERR1883512
Environment	Slon2017	10.1126/science.aam9695	SP3811	ERS1600820	ERR1883513
Environment	Slon2017	10.1126/science.aam9695	SP3812	ERS1600821	ERR1883514
Environment	Slon2017	10.1126/science.aam9695	SP3858	ERS1600846	ERR1883539
Environment	Slon2017	10.1126/science.aam9695	SP3859	ERS1600845	ERR1883538
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1600843	ERR1883536
Environment	Slon2017	10.1126/science.aam9695	SP3861	ERS1600839	ERR1883532
Environment	Slon2017	10.1126/science.aam9695	SP3862	ERS1600837	ERR1883530
Environment	Slon2017	10.1126/science.aam9695	SP3863	ERS1600834	ERR1883527
Environment	Slon2017	10.1126/science.aam9695	SP3864	ERS1600832	ERR1883525
Environment	Slon2017	10.1126/science.aam9695	SP3865	ERS1600855	ERR1883548
Environment	Slon2017	10.1126/science.aam9695	SP3866	ERS1600856	ERR1883549
Environment	Slon2017	10.1126/science.aam9695	SP3867	ERS1600857	ERR1883550
Environment	Slon2017	10.1126/science.aam9695	SP3868	ERS1600858	ERR1883551
Environment	Slon2017	10.1126/science.aam9695	SP3869	ERS1600848	ERR1883541
Environment	Slon2017	10.1126/science.aam9695	SP3870	ERS1600831	ERR1883524
Environment	Slon2017	10.1126/science.aam9695	SP3799	ERS1600919	ERR1883612
Environment	Slon2017	10.1126/science.aam9695	SP3800	ERS1600920	ERR1883613
Environment	Slon2017	10.1126/science.aam9695	SP3799	ERS1600809	ERR1883502
Environment	Slon2017	10.1126/science.aam9695	SP3800	ERS1600810	ERR1883503
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480250
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480262
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480274
HostAssociatedMetagenome	Bieker2020	10.1111/1755-0998.13174	USNH-39	SRS1631732	SRR4047228
HostAssociatedSingle	Campos2021	10.1371/journal.ppat.1009714	HERB1937	SRS7491184	SRR12792042
HostAssociatedSingle	Schuenemann2011	10.1073/pnas.1105107108	ES1-5	HE576987	HE576986.1
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF73	Unknown	Unknown
